corpus,system,seeds_used,test_rows,test_groups,auroc,auroc_sd,bacc,mcc,ece,brier,ms,p95_ms,aurc
ragtruth,fixed::alignscore,10,900,150,0.7998416483070502,0.002359663189082045,0.7418294874768089,0.41077332480695067,0.0690363525430263,0.13927058315943647,650.5134221573325,1768.8140032245221,0.12532074523251244
ragtruth,fixed::lettuce_v2,10,900,150,0.6367553484461966,0.0014912735849036576,0.6338358070500929,0.3461481650075907,0.04238696057268772,0.1543668904329807,43.85027203289953,93.75171298321058,0.22070416210884197
ragtruth,fixed::granite_guardian_3_1_2b,10,900,150,0.6214220489332096,0.0036541098741205403,0.5650249304267161,0.16030586701172048,0.08227641896790247,0.1700836339096313,109.16766304939748,178.00336704113892,0.1824739497671691
ragtruth,fixed::granite_guardian_3_2_3b_a800m,10,900,150,0.5926516842532468,0.005693961268517489,0.5370231331168831,0.10970152484687119,0.06738518001112995,0.17689704779111348,318.02977152009976,474.88414085453644,0.22530295208950452
ragtruth,fixed::granite_guardian_3_2_8b_factuality,10,900,150,0.5834111201298702,0.04601739610421676,0.5000710227272728,0.0017597941118232228,0.4738827237305954,0.3968062124580551,340.9191824402967,508.2464753973165,0.7094468416175504
ragtruth,fixed::granite_guardian_4_1_3b_factuality_lora,10,900,150,0.5863636363636363,0.010854883830197195,0.5183035714285714,0.06029212328041137,0.5555371041777178,0.5040811710431748,322.68140916888495,420.5505805976248,0.7224404664995678
ragtruth,fixed::qwen30_fast,10,900,150,0.6591847605519481,0.006585293057074789,0.6425759508348794,0.3789026031697592,0.07372764848154585,0.14775669921619033,183.10649941686196,264.1211752732681,0.16807050525179196
ragtruth,fixed::qwen30_judge,10,900,150,0.728461995593692,0.00034542626862013186,0.6600562384044526,0.4410771174853105,0.07918175347109352,0.13654171001215404,484.23857674757403,781.7281348825903,0.14417615181387938
unisumeval,OURS,10,367,45,0.63796405305706,0.028124851495569748,0.5723451848363551,0.19194182918554453,0.06964829968587355,0.18075138561458487,255.82444259876016,952.8619759455878,0.1901674212808772
unisumeval,no_verifier,10,367,45,0.5650655364571069,0.01518269555618204,0.5426928812495095,0.0800147878190171,0.06072234699732502,0.1950574405054836,106.5967253184624,582.4681370657005,0.35237012756213987
