pool,k,n_dominating,val_auroc,sd,val_ms,min_share,beta_mode,share__alignscore,share__factcc,share__factcg,share__factkb,share__granite_guardian_3_1_2b,share__granite_guardian_3_2_3b_a800m,share__granite_guardian_3_2_8b_factuality,share__granite_guardian_4_1_3b_factuality_lora,share__hhem,share__lettuce_v2,share__minicheck_dbta,share__minicheck_ft5,share__qwen30_fast,share__qwen30_judge,share__wecheck,rank_by_auroc,eligible,rank_among_eligible
factcc+hhem+wecheck,3,1,0.7258297270627206,0.011575720724883276,285.3866768287681,0.0013225448222548514,0.0,,0.0013225448222548514,,,,,,,0.0015151759416876047,,,,,,0.9971622792360575,294,False,
factcc+minicheck_ft5+wecheck,3,1,0.7256413065736975,0.013422110628838725,303.87160655135665,0.04631452242995927,0.0,,0.04631452242995927,,,,,,,,,,0.1737065729390836,,,0.7799789046309572,295,False,
granite_guardian_4_1_3b_factuality_lora+hhem+lettuce_v2,3,0,0.725357444790058,0.006866728551784869,242.69208904792112,0.034429568195222714,0.0,,,,,,,,0.36072307921087887,0.034429568195222714,0.6048473525938983,,,,,,296,False,
granite_guardian_3_1_2b+granite_guardian_3_2_8b_factuality+qwen30_fast,3,0,0.7253250114950196,0.003232959101109154,247.54470773373504,0.0,0.2,,,,,0.6476038760504923,,0.0,,,,,,0.3523961239495077,,,297,False,
factkb+hhem+wecheck,3,0,0.7252238655938751,0.015141637173718447,270.5855257663544,0.002649757594562932,0.0,,,,0.06507884380589718,,,,,0.002649757594562932,,,,,,0.9322713985995399,298,False,
granite_guardian_3_2_3b_a800m+hhem+qwen30_judge,3,2,0.725073836209216,0.012950308433478339,669.8992729490604,0.0005663957507858697,0.0,,,,,,0.009830702812101601,,,0.0005663957507858697,,,,,0.9896029014371125,,299,False,
factkb+hhem+qwen30_judge,3,2,0.7249972970131283,0.013029149008664078,675.0430706158843,0.0003780718336483932,0.0,,,,0.002274910719935958,,,,,0.0003780718336483932,,,,,0.9973470174464156,,300,False,
granite_guardian_3_1_2b+minicheck_dbta+wecheck,3,0,0.7248446520427498,0.013355956853058565,220.77330241286478,0.0,0.1,,,,,0.8120320733949882,,,,,,0.0,,,,0.1879679266050119,301,False,
factcc+granite_guardian_3_2_3b_a800m+qwen30_judge,3,2,0.7247578161021198,0.01346394987414592,669.7080650647476,0.0,0.0,,0.0,,,,0.010964568373633219,,,,,,,,0.9890354316263668,,302,False,
factcc+factkb+qwen30_judge,3,2,0.7247306980752757,0.013231127809952553,675.1738571220169,0.0,0.0,,0.0,,0.002460375829982163,,,,,,,,,,0.9975396241700178,,303,False,
factcc+granite_guardian_3_1_2b+qwen30_fast,3,0,0.7246271634576629,0.0043144421229448955,221.755241318954,0.22723095863434778,0.1,,0.22723095863434778,,,0.33294505800262686,,,,,,,,0.4398239833630253,,,304,True,66.0
factcc+hhem+qwen30_judge,3,2,0.724570513583916,0.013158559709320379,676.2134335569073,0.0,0.0,,0.0,,,,,,,0.0005671077504725899,,,,,0.9994328922495275,,305,False,
factcc+minicheck_ft5+qwen30_judge,3,2,0.7245659370427948,0.014319102575150452,667.7127931109802,0.0,0.0,,0.0,,,,,,,,,,0.02194885002829469,,0.9780511499717054,,306,False,
factkb+granite_guardian_4_1_3b_factuality_lora+qwen30_judge,3,3,0.7245350141752651,0.012528994750837076,670.1549819738473,0.0011360164605931583,0.0,,,,0.0011360164605931583,,,,0.018187016398171656,,,,,,0.9806769671412352,,307,False,
factkb+granite_guardian_3_2_3b_a800m+qwen30_judge,3,3,0.7242943667454362,0.013782195155224905,666.6933550108658,0.0034034099192138006,0.0,,,,0.0034034099192138006,,0.011535261830885182,,,,,,,,0.985061328249901,,308,False,
factkb+granite_guardian_4_1_3b_factuality_lora+wecheck,3,1,0.7242831381449839,0.013880741036524685,305.77193498139565,0.014354015051034483,0.0,,,,0.014354015051034483,,,,0.22695093923926998,,,,,,,0.7586950457096956,309,False,
granite_guardian_3_1_2b+granite_guardian_3_2_8b_factuality+wecheck,3,0,0.7242157869422833,0.016938223766394728,214.98110999790842,0.0,0.2,,,,,0.8226975025638597,,0.0,,,,,,,,0.17730249743614032,310,False,
factcc+granite_guardian_3_1_2b+wecheck,3,0,0.7240965691497852,0.011540801594786253,245.78063059418554,0.00170133405976216,0.0,,0.00170133405976216,,,0.35712219792437827,,,,,,,,,,0.6411764680158596,311,False,
granite_guardian_4_1_3b_factuality_lora+hhem+qwen30_judge,3,3,0.7240234374668001,0.011466871324998549,671.8804038726599,0.0003780718336483932,0.0,,,,,,,,0.01969646113819054,0.0003780718336483932,,,,,0.9799254670281611,,312,False,
factkb+granite_guardian_3_1_2b+wecheck,3,0,0.7240201622845829,0.010228164084826304,239.9774100105219,0.01627944347486134,0.0,,,,0.01627944347486134,0.35559846046141824,,,,,,,,,,0.6281220960637205,313,False,
factcc+granite_guardian_4_1_3b_factuality_lora+qwen30_judge,3,3,0.7239658872140655,0.012121530112517426,672.0818841379645,0.0001890359168241966,0.0,,0.0001890359168241966,,,,,,0.01591318660899435,,,,,,0.9838977774741814,,314,False,
granite_guardian_3_2_3b_a800m+granite_guardian_4_1_3b_factuality_lora+qwen30_fast,3,1,0.7237642355355037,0.013182854010009765,287.78315507221544,0.010207939508506616,0.4,,,,,,0.2570233775912097,,0.010207939508506616,,,,,0.7327686829002836,,,315,False,
granite_guardian_3_1_2b+hhem+wecheck,3,0,0.7234933065784872,0.016189990532885813,249.85243202640945,0.0007579392227725698,0.0,,,,,0.3558025310549844,,,,0.0007579392227725698,,,,,,0.643439529722243,316,False,
granite_guardian_3_1_2b+minicheck_ft5+wecheck,3,0,0.72338733465749,0.01406472971886383,225.89275350488006,0.02167300380228137,0.2,,,,,0.7800345449039625,,,,,,,0.02167300380228137,,,0.19829245129375622,317,False,
granite_guardian_3_1_2b+hhem+qwen30_fast,3,0,0.7231755915578459,0.00615936231388183,240.9522531350849,0.15510115996999024,0.1,,,,,0.39249472255724804,,,,0.15510115996999024,,,,0.45240411747276166,,,318,True,67.0
granite_guardian_3_2_3b_a800m+minicheck_dbta+qwen30_fast,3,1,0.7230625522717474,0.007670939138091388,287.60725619588186,0.0,0.1,,,,,,0.2005164445787903,,,,,0.0,,0.7994835554212096,,,319,False,
granite_guardian_3_2_3b_a800m+granite_guardian_3_2_8b_factuality+qwen30_fast,3,1,0.7221820492023653,0.009094231336648667,289.63217494950266,0.0,0.2,,,,,,0.1641871931561098,0.0,,,,,,0.8358128068438901,,,320,False,
granite_guardian_3_1_2b+granite_guardian_4_1_3b_factuality_lora+wecheck,3,0,0.7216105248848619,0.015426054989586754,208.3165467066222,0.0,0.2,,,,,0.8800816823759818,,,0.0,,,,,,,0.11991831762401825,321,False,
granite_guardian_4_1_3b_factuality_lora+hhem+wecheck,3,0,0.7216075492098568,0.015811770413680194,267.4787634573216,0.05504058065731857,0.1,,,,,,,,0.05504058065731857,0.10061156360366907,,,,,,0.8443478557390124,322,True,68.0
factkb+granite_guardian_3_2_3b_a800m+qwen30_fast,3,1,0.7215476955633221,0.008230653941488525,297.72367905636037,0.006637480990115069,0.0,,,,0.006637480990115069,,0.06055833061993867,,,,,,,0.9328041883899463,,,323,False,
minicheck_dbta+minicheck_ft5+qwen30_fast,3,1,0.7214846578335168,0.009568256932657617,332.6242174042407,0.010775901387880957,0.0,,,,,,,,,,,0.010775901387880957,0.05242664291650523,0.9367974556956138,,,324,False,
factkb+granite_guardian_3_2_8b_factuality+wecheck,3,1,0.7212588514837908,0.01716697237349256,334.83708157312356,0.12888351934140987,0.1,,,,0.2533702721684536,,,0.12888351934140987,,,,,,,,0.6177462084901365,325,False,
factcc+granite_guardian_4_1_3b_factuality_lora+wecheck,3,1,0.7207955820399479,0.015922702551095815,307.9565843346153,0.0,0.0,,0.0,,,,,,0.23927919874016826,,,,,,,0.7607208012598317,326,False,
factcc+granite_guardian_3_2_3b_a800m+qwen30_fast,3,1,0.7207475160800036,0.007624602265638415,299.37849570589015,0.0,0.0,,0.0,,,,0.06415650078684662,,,,,,,0.9358434992131534,,,327,False,
granite_guardian_3_2_3b_a800m+hhem+qwen30_fast,3,0,0.7203250827944512,0.008108534402049504,265.7381100225331,0.06415936631062528,0.0,,,,,,0.06415936631062528,,,0.1638875406230555,,,,0.7719530930663192,,,328,True,69.0
factcc+minicheck_ft5+qwen30_fast,3,1,0.7202616392906481,0.007599285666568108,298.52612279214907,0.04646358123340032,0.1,,0.08927976389611617,,,,,,,,,,0.04646358123340032,0.8642566548704835,,,329,False,
