protocol,seed,rotation,system,n,verifier,features,heads,routing,platt,isotonic
A,17,3,fixed::hhem,876,127.1144517839059,0.0,0.0,0.0,7.914270066494572e-05,3.083218601383439e-05
A,17,3,fixed::wecheck,876,307.055772325108,0.0,0.0,0.0,7.671233148050397e-05,3.647489048493814e-05
A,17,3,fixed::factcg,876,373.65369065185627,0.0,0.0,0.0,7.835731253699828e-05,3.56175733696176e-05
A,17,3,fixed::minicheck_dbta,876,440.40946420083446,0.0,0.0,0.0,7.748059286803994e-05,3.373516020769058e-05
A,17,3,fixed::minicheck_ft5,876,416.1172433713832,0.0,0.0,0.0,7.965296456913493e-05,3.484931198208163e-05
A,17,3,fixed::alignscore,876,635.2451650803742,0.0,0.0,0.0,7.899543727624771e-05,4.129680713477064e-05
A,17,3,fixed::lettuce_v2,876,68.8432214170528,0.0,0.0,0.0,8.02203231452875e-05,2.5698632457969734e-05
A,17,3,fixed::granite_guardian_3_1_2b,876,178.59132373518125,0.0,0.0,0.0,7.693150724479971e-05,4.10411020764256e-05
A,17,3,fixed::granite_guardian_3_2_3b_a800m,876,247.5295324878489,0.0,0.0,0.0,7.790068805549447e-05,3.541667055823419e-05
A,17,3,fixed::granite_guardian_3_2_8b_factuality,876,1008.0393078246515,0.0,0.0,0.0,7.928767162864203e-05,3.0538822060714576e-05
A,17,3,fixed::granite_guardian_4_1_3b_factuality_lora,876,448.1498121801771,0.0,0.0,0.0,7.576255322344703e-05,3.4867584934993966e-05
A,17,3,fixed::qwen30_fast,876,273.70163912943497,0.0,0.0,0.0,8.056734313286807e-05,3.1799091011302795e-05
A,17,3,fixed::qwen30_judge,876,652.3996402646591,0.0,0.0,0.0,7.726028750301871e-05,2.7452055184111066e-05
A,17,4,OURS,849,100.08491821369338,47.10544620143034,0.4448207444134272,0.00017272321221027063,0.0001728727935579714,3.444993672662089e-05
A,17,4,OURS_legacy_hp,849,104.14375151708849,47.10544620143034,0.47886895877432556,0.0001721001194254687,0.00017479505185345002,3.365842566262707e-05
A,17,4,fixed::factcc,849,52.027762929900156,0.0,0.0,0.0,8.378915658200903e-05,3.160542295093882e-05
A,17,4,fixed::factkb,849,52.69778752476674,0.0,0.0,0.0,8.020849415244813e-05,3.198115031692354e-05
A,17,4,fixed::hhem,849,169.69749722829982,0.0,0.0,0.0,8.113193229714012e-05,3.2208478999696014e-05
A,17,4,fixed::wecheck,849,383.6032149041671,0.0,0.0,0.0,8.704947119576525e-05,3.9351001207456786e-05
A,17,4,fixed::factcg,849,502.97955036670265,0.0,0.0,0.0,8.084805853976412e-05,3.989634665718699e-05
A,17,4,fixed::minicheck_dbta,849,589.3115684171978,0.0,0.0,0.0,7.953003895753123e-05,3.499646484083962e-05
A,17,4,fixed::minicheck_ft5,849,604.4328271089332,0.0,0.0,0.0,8.041578609917589e-05,3.980211057953616e-05
A,17,4,fixed::alignscore,849,783.9700972636145,0.0,0.0,0.0,8.350648262918663e-05,4.13851669876539e-05
A,17,4,fixed::lettuce_v2,849,92.58108987702354,0.0,0.0,0.0,7.919080279004026e-05,2.6573614053893285e-05
A,17,4,fixed::granite_guardian_3_1_2b,849,202.95875574698238,0.0,0.0,0.0,8.045231157779974e-05,3.946289155211023e-05
A,17,4,fixed::granite_guardian_3_2_3b_a800m,849,265.0112392125378,0.0,0.0,0.0,8.037809509612857e-05,3.7956416954640716e-05
A,17,4,fixed::granite_guardian_3_2_8b_factuality,849,1071.333770264347,0.0,0.0,0.0,8.297880858652408e-05,2.9945819012302953e-05
A,17,4,fixed::granite_guardian_4_1_3b_factuality_lora,849,480.7358730228692,0.0,0.0,0.0,7.873852789353741e-05,3.793758002314958e-05
A,17,4,fixed::qwen30_fast,849,309.4128479554663,0.0,0.0,0.0,8.211189837637056e-05,3.0550057725548676e-05
A,17,4,fixed::qwen30_judge,849,680.5352408928646,0.0,0.0,0.0,7.858774674128306e-05,2.7722032692445742e-05
A,17,5,OURS,839,98.26132723751076,46.814798958993215,0.3961006722364995,0.00017388439065686853,0.0001799117974133294,3.356495508602215e-05
A,17,5,OURS_legacy_hp,839,102.83735361017112,46.814798958993215,0.49865618235383324,0.000492038151290361,0.00017628843989889265,8.80488693487694e-05
A,17,5,fixed::factcc,839,57.15215903739733,0.0,0.0,0.0,8.532179880851749e-05,3.5051262384686834e-05
A,17,5,fixed::factkb,839,55.67855800090455,0.0,0.0,0.0,8.310964752845599e-05,2.8988091564816074e-05
A,17,5,fixed::hhem,839,170.58309431361806,0.0,0.0,0.0,8.135398237103502e-05,3.224792870825003e-05
A,17,5,fixed::wecheck,839,399.08721019772406,0.0,0.0,0.0,8.063051456649909e-05,3.945768291310488e-05
A,17,5,fixed::factcg,839,593.2794353548735,0.0,0.0,0.0,7.899046689049919e-05,3.774015799595467e-05
A,17,5,fixed::minicheck_dbta,839,567.6257293009162,0.0,0.0,0.0,8.269010488547748e-05,3.533730551453931e-05
A,17,5,fixed::minicheck_ft5,839,545.7565153731673,0.0,0.0,0.0,8.16781830855149e-05,4.2488678614914205e-05
A,17,5,fixed::alignscore,839,823.5610387219281,0.0,0.0,0.0,8.091655769635157e-05,3.997140541268652e-05
A,17,5,fixed::lettuce_v2,839,90.85275218177546,0.0,0.0,0.0,8.21180012814159e-05,2.5554238491124418e-05
A,17,5,fixed::granite_guardian_3_1_2b,839,196.71899549757003,0.0,0.0,0.0,7.91227522986598e-05,3.922766205522812e-05
A,17,5,fixed::granite_guardian_3_2_3b_a800m,839,258.23576337913454,0.0,0.0,0.0,8.064839659820403e-05,3.953276663303766e-05
A,17,5,fixed::granite_guardian_3_2_8b_factuality,839,1062.3787104030941,0.0,0.0,0.0,8.036353288460367e-05,2.9139455765290397e-05
A,17,5,fixed::granite_guardian_4_1_3b_factuality_lora,839,472.2178270916482,0.0,0.0,0.0,7.92753132597429e-05,3.533730551453931e-05
A,17,5,fixed::qwen30_fast,839,303.84266426915406,0.0,0.0,0.0,8.642790046508321e-05,3.224909078014551e-05
A,17,5,fixed::qwen30_judge,839,684.2727457541979,0.0,0.0,0.0,8.400595184699748e-05,2.8319431927290447e-05
A,17,6,OURS,821,75.4398537171768,33.86023690467179,0.4822049853868383,0.0001742082974679505,0.00018239342187838708,3.3500600361177894e-05
A,17,6,OURS_legacy_hp,821,76.44443450662638,33.86023690467179,0.5235905651731675,0.0001796650352584931,0.00018198538333944405,3.511937242681921e-05
A,17,6,fixed::factcc,821,41.02702513331464,0.0,0.0,0.0,8.878928178696736e-05,3.7261871643700205e-05
A,17,6,fixed::factkb,821,40.493752978173234,0.0,0.0,0.0,8.960778713816194e-05,3.6912306635010984e-05
A,17,6,fixed::hhem,821,115.65561660134514,0.0,0.0,0.0,8.943362499561147e-05,3.622898698107188e-05
A,17,6,fixed::wecheck,821,299.4647003588254,0.0,0.0,0.0,8.711327691466052e-05,4.172471894153216e-05
A,17,6,fixed::factcg,821,464.4915036225848,0.0,0.0,0.0,8.7348358585396e-05,4.3829482436706466e-05
A,17,6,fixed::minicheck_dbta,821,398.7291009638523,0.0,0.0,0.0,8.719245280421608e-05,3.509865234289477e-05
A,17,6,fixed::minicheck_ft5,821,398.6362830781331,0.0,0.0,0.0,8.493180125248454e-05,3.8236300500697396e-05
A,17,6,fixed::alignscore,821,617.8949068913486,0.0,0.0,0.0,8.769792359408521e-05,4.1218025152697414e-05
A,17,6,fixed::lettuce_v2,821,67.71044057291103,0.0,0.0,0.0,8.847869322357311e-05,2.9135203038894737e-05
A,17,6,fixed::granite_guardian_3_1_2b,821,168.68159113180724,0.0,0.0,0.0,8.333373154614497e-05,3.864556203860604e-05
A,17,6,fixed::granite_guardian_3_2_3b_a800m,821,238.51009556781455,0.0,0.0,0.0,8.748356200727418e-05,3.9834352482414274e-05
A,17,6,fixed::granite_guardian_3_2_8b_factuality,821,993.97740152213,0.0,0.0,0.0,8.927771921443155e-05,3.094761660742266e-05
A,17,6,fixed::granite_guardian_4_1_3b_factuality_lora,821,439.68346938172533,0.0,0.0,0.0,8.444458682398594e-05,3.689160427570924e-05
