protocol,seed,system,n,verifier,features,heads,routing,platt,isotonic
B,31,fixed::lettuce_v2,3236,61.60762110813256,0.0,0.0,0.0,2.812886113020026e-05,1.0596105684405388e-05
B,31,fixed::granite_guardian_3_1_2b,3236,131.81202981387514,0.0,0.0,0.0,2.757015032808864e-05,2.6437578723122387e-05
B,31,fixed::granite_guardian_3_2_3b_a800m,3236,263.87175500455834,0.0,0.0,0.0,2.7634428781819875e-05,1.801730364409122e-05
B,31,fixed::granite_guardian_3_2_8b_factuality,3236,690.0147674194055,0.0,0.0,0.0,2.7550373034153425e-05,1.57280571382304e-05
B,31,fixed::granite_guardian_4_1_3b_factuality_lora,3236,376.7556717445145,0.0,0.0,0.0,2.8049446166376728e-05,2.3802535361477965e-05
B,31,fixed::qwen30_fast,3236,211.64676892352674,0.0,0.0,0.0,2.788164495601007e-05,1.8447466532507513e-05
B,31,fixed::qwen30_judge,3236,600.8660680483031,0.0,0.0,0.0,2.757509240313066e-05,1.2183249261798924e-05
B,37,OURS,3236,78.99906633015117,27.29291416183124,0.03399633498412266,6.418356049416773e-05,7.191687365170748e-05,1.6890294684099472e-05
B,37,OURS_legacy_hp,3236,78.16888840917059,27.29291416183124,0.03423547218770292,5.9392459324200734e-05,6.5321074174176e-05,1.737453709431315e-05
B,37,fixed::factcc,3236,37.602541001972064,0.0,0.0,0.0,2.7313041010047267e-05,1.9085601292209807e-05
B,37,fixed::factkb,3236,37.01453778784255,0.0,0.0,0.0,2.8207974802824692e-05,2.0272247922089876e-05
B,37,fixed::hhem,3236,223.29777995245803,0.0,0.0,0.0,2.717954202754278e-05,1.4758960741637701e-05
B,37,fixed::wecheck,3236,496.01285699078085,0.0,0.0,0.0,2.691254855941737e-05,2.5350119854117502e-05
B,37,fixed::factcg,3236,427.50411280639327,0.0,0.0,0.0,2.656644141866753e-05,2.2932325434561345e-05
B,37,fixed::minicheck_dbta,3236,480.6411952140502,0.0,0.0,0.0,2.7842085871256068e-05,2.1355066007251847e-05
B,37,fixed::minicheck_ft5,3236,364.02877976621477,0.0,0.0,0.0,2.6699935904288452e-05,2.6734548417116863e-05
B,37,fixed::alignscore,3236,561.6505837401235,0.0,0.0,0.0,2.662082672854759e-05,2.1800064114561335e-05
B,37,fixed::lettuce_v2,3236,61.60762110813256,0.0,0.0,0.0,2.6729601845191272e-05,1.1129791329457104e-05
B,37,fixed::granite_guardian_3_1_2b,3236,131.81202981387514,0.0,0.0,0.0,2.6250000218820514e-05,2.3486094161630948e-05
B,37,fixed::granite_guardian_3_2_3b_a800m,3236,263.87175500455834,0.0,0.0,0.0,2.6754325711052078e-05,2.1844565274357355e-05
B,37,fixed::granite_guardian_3_2_8b_factuality,3236,690.0147674194055,0.0,0.0,0.0,2.656644141866753e-05,1.4259892106297966e-05
B,37,fixed::granite_guardian_4_1_3b_factuality_lora,3236,376.7556717445145,0.0,0.0,0.0,2.6902655415566195e-05,2.415327878918715e-05
B,37,fixed::qwen30_fast,3236,211.64676892352674,0.0,0.0,0.0,2.7896480174903262e-05,1.8170579920530925e-05
B,37,fixed::qwen30_judge,3236,600.8660680483031,0.0,0.0,0.0,2.6541717552806726e-05,1.2099193514132474e-05
B,53,OURS,3236,78.980713326441,27.29291416183124,0.03178214709512194,0.00019084023335765545,6.816872569406578e-05,4.269993757945341e-05
B,53,OURS_legacy_hp,3236,79.35178749540222,27.29291416183124,0.028287911000422678,0.00019736681230641368,6.686341080369084e-05,3.9733622295952345e-05
B,53,fixed::factcc,3236,37.602541001972064,0.0,0.0,0.0,2.7505871874357404e-05,2.291749021566815e-05
B,53,fixed::factkb,3236,37.01453778784255,0.0,0.0,0.0,2.7678925444732323e-05,2.2229912221127815e-05
B,53,fixed::hhem,3236,223.29777995245803,0.0,0.0,0.0,2.778770056137601e-05,1.4319219491220044e-05
B,53,fixed::wecheck,3236,496.01285699078085,0.0,0.0,0.0,2.7446539992551756e-05,2.4014833234757075e-05
B,53,fixed::factcg,3236,427.50411280639327,0.0,0.0,0.0,2.7580038975056245e-05,2.4232693753010688e-05
B,53,fixed::minicheck_dbta,3236,480.6411952140502,0.0,0.0,0.0,2.7313041010047267e-05,1.968881325411745e-05
B,53,fixed::minicheck_ft5,3236,364.02877976621477,0.0,0.0,0.0,2.7446539992551756e-05,2.4524105298914225e-05
B,53,fixed::alignscore,3236,561.6505837401235,0.0,0.0,0.0,2.778770056137601e-05,2.495457397541319e-05
B,53,fixed::lettuce_v2,3236,61.60762110813256,0.0,0.0,0.0,2.8959210681163777e-05,1.1327564268809258e-05
B,53,fixed::granite_guardian_3_1_2b,3236,131.81202981387514,0.0,0.0,0.0,2.6848270105686137e-05,2.2145856473461365e-05
B,53,fixed::granite_guardian_3_2_3b_a800m,3236,263.87175500455834,0.0,0.0,0.0,2.713998743967235e-05,2.1018847513469616e-05
B,53,fixed::granite_guardian_3_2_8b_factuality,3236,690.0147674194055,0.0,0.0,0.0,2.687298947466337e-05,1.5134733823290364e-05
B,53,fixed::granite_guardian_4_1_3b_factuality_lora,3236,376.7556717445145,0.0,0.0,0.0,2.697187594433945e-05,2.478646697696386e-05
B,53,fixed::qwen30_fast,3236,211.64676892352674,0.0,0.0,0.0,2.700648845716786e-05,1.7844564855566113e-05
