system,coverage,selective_error
fixed::factkb,0.42000000000000004,0.2131714495952907
fixed::factkb,0.44,0.22092696629213485
fixed::factkb,0.46,0.22666218938885158
fixed::factkb,0.48000000000000004,0.23180940115904702
fixed::factkb,0.5,0.2353522867737948
fixed::factkb,0.52,0.23969102792632208
fixed::factkb,0.54,0.24430452203777903
fixed::factkb,0.56,0.2487306843267108
fixed::factkb,0.5800000000000001,0.2521044219499201
fixed::factkb,0.6,0.2528836251287333
fixed::factkb,0.62,0.2516450648055832
fixed::factkb,0.64,0.24934814099468855
fixed::factkb,0.66,0.247940074906367
fixed::factkb,0.68,0.24627272727272728
fixed::factkb,0.7000000000000001,0.24715231788079475
fixed::factkb,0.7200000000000001,0.24682403433476394
fixed::factkb,0.74,0.24701461377870562
fixed::factkb,0.76,0.2509556730378203
fixed::factkb,0.78,0.2516244057052298
fixed::factkb,0.8,0.2534569331788335
fixed::factkb,0.8200000000000001,0.25531273549359457
fixed::factkb,0.8400000000000001,0.2600441501103753
fixed::factkb,0.86,0.2637441609773626
fixed::factkb,0.88,0.2672752808988764
fixed::factkb,0.9,0.27101648351648355
fixed::factkb,0.92,0.27302653678199534
fixed::factkb,0.9400000000000001,0.277120315581854
fixed::factkb,0.9600000000000001,0.28361763759253306
fixed::factkb,0.98,0.29050772626931565
fixed::factkb,1.0,0.2945302843016069
fixed::hhem,0.02,0.007692307692307665
fixed::hhem,0.04,0.003875968992248069
fixed::hhem,0.06,0.005154639175257714
fixed::hhem,0.08,0.01737451737451735
fixed::hhem,0.1,0.09259259259259259
fixed::hhem,0.12000000000000001,0.16391752577319582
