system,rule,primary,mean_threshold,acc,bacc,mcc,f1_macro,f1_unsup,prec_unsup,rec_unsup,auroc,ece,brier,aurc
fixed::wecheck,youden,False,0.6146018598581674,0.6918585526315788,0.6733190295288709,0.36046220156406167,0.6753104352929593,0.6020422275446988,0.672848734951424,0.5448105436573311,0.7333738119159656,0.02146795789850893,0.1958114452607409,0.19193289222209148
fixed::wecheck,conformal,False,0.7554008802112957,0.5563909774436091,0.5954199184282841,0.22036170784003417,0.5400862002600686,0.6255633556974007,0.4899136809196625,0.8659527732015377,0.7333738119159656,0.02146795789850893,0.1958114452607409,0.28071538852554945
fixed::factcg,fixed05,False,0.5,0.733517387218045,0.7057895564749381,0.4545675881738605,0.708287627413219,0.6225197761570359,0.7903609151414464,0.5135914332784184,0.7550049192232533,0.020787890282362866,0.18411392390993464,0.1722078534832936
fixed::factcg,mcc,True,0.4935136535173099,0.7303336466165413,0.6984653602111799,0.4535150175172971,0.6991363130815702,0.602320951178175,0.8164718018881244,0.477567270730368,0.7550049192232533,0.020787890282362866,0.18411392390993464,0.17246039744895886
fixed::factcg,youden,False,0.6154269460348566,0.7291000939849624,0.7090743008501094,0.43977108061625303,0.71235361633469,0.6430038268156112,0.7373615085551412,0.5702635914332783,0.7550049192232533,0.020787890282362866,0.18411392390993464,0.17252894925613513
fixed::factcg,conformal,False,0.7687191192739824,0.5948543233082707,0.623086543373172,0.2607933930935045,0.5900038990519436,0.6336607613076378,0.5170210860122428,0.8187808896210873,0.7550049192232533,0.020787890282362866,0.18411392390993464,0.24488170439739135
fixed::minicheck_dbta,fixed05,False,0.5,0.6233670112781955,0.5746319800817972,0.2077449896267986,0.5417373758664022,0.34870154689811905,0.6751439883015731,0.23682042833607908,0.636422701383697,0.024072847952381796,0.22554165708285773,0.2840111320739345
fixed::minicheck_dbta,mcc,True,0.44978180566523795,0.6165765977443609,0.5666240822618166,0.19325224780165176,0.5285917957054036,0.32609317418643513,0.6742425191943953,0.22037342119714443,0.636422701383697,0.024072847952381796,0.22554165708285773,0.2862340917795322
fixed::minicheck_dbta,youden,False,0.6121491003295261,0.5816611842105264,0.5879889707913719,0.17485897669226358,0.5805172609836292,0.5634501521500652,0.509291847100056,0.6318506315211423,0.636422701383697,0.024072847952381796,0.22554165708285773,0.29556196320422107
fixed::minicheck_dbta,conformal,False,0.7465561567502607,0.5072133458646617,0.5565897181750218,0.1504956103795233,0.4707849021561453,0.609513176840888,0.4611174077402116,0.8988467874794068,0.636422701383697,0.024072847952381796,0.22554165708285773,0.3786296673005711
fixed::minicheck_ft5,fixed05,False,0.5,0.6868303571428572,0.6602287875763818,0.34860066083009017,0.6602318484952621,0.5652048008604548,0.6962040283430694,0.4758374519494783,0.7011700196317884,0.023928165759237202,0.21019878404051656,0.25180233619548964
fixed::minicheck_ft5,mcc,True,0.5475212145103042,0.6843984962406016,0.6572380858949942,0.3434487756868738,0.656834899686267,0.5596778821871913,0.6947027144810881,0.46897309170785284,0.7011700196317884,0.023928165759237202,0.21019878404051656,0.251918855012292
fixed::minicheck_ft5,youden,False,0.6162100431805959,0.6803101503759399,0.662998149582726,0.3368957059451654,0.6646564224810557,0.5923305905520266,0.6519780218431117,0.542998352553542,0.7011700196317884,0.023928165759237202,0.21019878404051656,0.2524008284839722
fixed::minicheck_ft5,conformal,False,0.7366367588724101,0.5806156015037593,0.6053153320771695,0.219535948766928,0.5773125484096733,0.6130809679999858,0.506758309712142,0.7765238879736409,0.7011700196317884,0.023928165759237202,0.21019878404051656,0.30876489471216584
fixed::alignscore,fixed05,False,0.5,0.7198190789473683,0.6979966724062303,0.42017822119850345,0.7007348082506762,0.6252877900613099,0.7310742894336016,0.5467325645249863,0.7811302232566216,0.021538308105892738,0.18128313726136677,0.15324855315235048
fixed::alignscore,mcc,True,0.5038730873167786,0.7123590225563909,0.6844635988755419,0.40741433302756924,0.6851683031614431,0.5930279201894986,0.7524239632170584,0.4911037891268534,0.7811302232566216,0.021538308105892738,0.18128313726136677,0.15430503426108216
fixed::alignscore,youden,False,0.6172324411708483,0.7147086466165413,0.7082535037837142,0.41697615469157745,0.7083712025464709,0.6655301388841698,0.6678486014998208,0.6635090609555189,0.7811302232566216,0.021538308105892738,0.18128313726136677,0.15378224071281474
fixed::alignscore,conformal,False,0.8030678561815144,0.5833294172932331,0.6245908672153645,0.2921952045167313,0.5665408995133856,0.6516091736119518,0.5073853780286978,0.9105985722130697,0.7811302232566216,0.021538308105892738,0.18128313726136677,0.24568195848222216
fixed::lettuce_v2,fixed05,False,0.5,0.6558388157894737,0.6123773802556756,0.2878769672847509,0.5942477087185226,0.4361639575814255,0.7292909587568782,0.3111202635914333,0.6121616504684679,0.014028759498552474,0.22606825464121375,0.32685232455860547
fixed::lettuce_v2,mcc,True,0.6022454872484224,0.6557800751879699,0.6122914277531019,0.2877661125935239,0.5941109251326593,0.4359012654471073,0.7293572286269889,0.31084568918176825,0.6121616504684679,0.014028759498552474,0.22606825464121375,0.326837718714157
fixed::lettuce_v2,youden,False,0.6402886178836312,0.6566259398496241,0.6134252903892191,0.28954638714438874,0.5957912793812044,0.43897975440561743,0.7293667479833142,0.31397583745194946,0.6121616504684679,0.014028759498552474,0.22606825464121375,0.326818444041306
fixed::lettuce_v2,conformal,False,0.6411238579778021,0.6566259398496241,0.6134425992893766,0.28951889162789435,0.5958347775244679,0.43908768294540773,0.7292197941440122,0.314113124656782,0.6121616504684679,0.014028759498552474,0.22606825464121375,0.326818444041306
fixed::granite_guardian_3_1_2b,fixed05,False,0.5,0.7087758458646617,0.6790716396771861,0.4000390850692906,0.6791313813483695,0.5816286872784381,0.7549080495705319,0.4731740801757277,0.7402366949810955,0.021127906632528042,0.19460490594632393,0.19140631298424848
fixed::granite_guardian_3_1_2b,mcc,True,0.49685045710191816,0.7063792293233083,0.6723280132427181,0.39996729929641295,0.6696990732193961,0.5596768185529074,0.7812041064883842,0.4362987369577155,0.7402366949810955,0.021127906632528042,0.19460490594632393,0.19168673411324239
fixed::granite_guardian_3_1_2b,youden,False,0.6077010253152677,0.7013392857142857,0.6821964148588169,0.3805444679683808,0.6844220420548706,0.6114944749649251,0.6898883826129957,0.549505766062603,0.7402366949810955,0.021127906632528042,0.19460490594632393,0.192131155052625
fixed::granite_guardian_3_1_2b,conformal,False,0.7757031129289212,0.5453477443609023,0.5886907367502343,0.21470520699191337,0.5227964565695168,0.6259878828901222,0.48316715698489715,0.8891268533772653,0.7402366949810955,0.021127906632528042,0.19460490594632393,0.2934550811266765
fixed::granite_guardian_3_2_3b_a800m,fixed05,False,0.5,0.6651198308270676,0.6246112432300776,0.3077641459310637,0.6116618846957035,0.4676186629747902,0.7316339552680272,0.3438220757825371,0.6637164097394418,0.021030969719368384,0.2152029197788708,0.2548491796125757
fixed::granite_guardian_3_2_3b_a800m,mcc,True,0.48250135837632874,0.6634985902255639,0.618129821261644,0.3124044417068543,0.5979698246095329,0.43567640653826245,0.771473957824224,0.30365183964854475,0.6637164097394418,0.021030969719368384,0.2152029197788708,0.25515050097780334
fixed::granite_guardian_3_2_3b_a800m,youden,False,0.6083227397086297,0.6575540413533835,0.6279657982898581,0.2833087877145992,0.6246793985086487,0.5136893832185738,0.6549281653650905,0.422872048325096,0.6637164097394418,0.021030969719368384,0.2152029197788708,0.2554653111968596
fixed::granite_guardian_3_2_3b_a800m,conformal,False,0.6909177928915309,0.5288416353383459,0.5658085567985639,0.15003687916096423,0.5133541865901389,0.5988096241976163,0.4712184274065755,0.822048325096101,0.6637164097394418,0.021030969719368384,0.2152029197788708,0.3305670689118607
fixed::granite_guardian_3_2_8b_factuality,fixed05,False,0.5,0.7038768796992482,0.6597938944123263,0.41973549348330136,0.6472080675040831,0.5058252287222886,0.8847865262389055,0.3542284459088413,0.6702840210097347,0.01762051194854041,0.19798108991545166,0.21487279142339433
fixed::granite_guardian_3_2_8b_factuality,mcc,True,0.45142542360125804,0.7031954887218045,0.6568513250047642,0.4276627288394203,0.6410773593430796,0.4917644700319337,0.9199224697478947,0.335612300933553,0.6702840210097347,0.01762051194854041,0.19798108991545166,0.21494758136640052
fixed::granite_guardian_3_2_8b_factuality,youden,False,0.6252185424270922,0.7016799812030076,0.6604737733515105,0.40391645039395546,0.6510376727778235,0.5181147640015925,0.8391146000873885,0.37484898407468425,0.6702840210097347,0.01762051194854041,0.19798108991545166,0.21496055439425943
fixed::granite_guardian_3_2_8b_factuality,conformal,False,0.6793961547289982,0.6651433270676692,0.6397459087285344,0.3011407031081738,0.6390702464590423,0.5422731890698845,0.6541378709444162,0.46370126304228443,0.6702840210097347,0.01762051194854041,0.19798108991545166,0.22266396361006588
fixed::granite_guardian_4_1_3b_factuality_lora,fixed05,False,0.5,0.6047932330827067,0.5643299764215569,0.15652883315055746,0.5446993339154813,0.3796765102838167,0.578702887150939,0.28385502471169693,0.6188730073622025,0.021951265322490615,0.23445607317857625,0.3298871253646625
fixed::granite_guardian_4_1_3b_factuality_lora,mcc,True,0.5827800283837257,0.5861019736842105,0.5754575751527637,0.1518452952841004,0.5752398922332974,0.5086246321758633,0.517254294431048,0.5016749038989566,0.6188730073622025,0.021951265322490615,0.23445607317857625,0.336327710508938
fixed::granite_guardian_4_1_3b_factuality_lora,youden,False,0.6040830580455493,0.5847744360902256,0.5858112912665041,0.16996755510727993,0.5821202973865705,0.5498395587575692,0.512904389099526,0.592998352553542,0.6188730073622025,0.021951265322490615,0.23445607317857625,0.3352796497339276
fixed::granite_guardian_4_1_3b_factuality_lora,conformal,False,0.7032236780569074,0.5111372180451127,0.5536353539078084,0.1297287008366052,0.4870909024676865,0.597518285891592,0.4613398718306295,0.8482152663371773,0.6188730073622025,0.021951265322490615,0.23445607317857625,0.41285207302869187
fixed::qwen30_fast,fixed05,False,0.5,0.7522438909774436,0.7263853547535201,0.4948209520192206,0.7304572585566065,0.6538760375776721,0.8129629706981264,0.5471444261394838,0.768927958891644,0.014397489042853201,0.1733175626795572,0.15633167817581162
fixed::qwen30_fast,mcc,True,0.49095761189241666,0.7493421052631579,0.7186290561744286,0.4961903438148404,0.721374624012846,0.6331455568594064,0.8471885580108072,0.505738605161999,0.768927958891644,0.014397489042853201,0.1733175626795572,0.15661416829530297
fixed::qwen30_fast,youden,False,0.6449199938917147,0.74906015037594,0.7320532189480022,0.4819397134980788,0.7358436634261135,0.6767971401185298,0.7538778417375095,0.614168039538715,0.768927958891644,0.014397489042853201,0.1733175626795572,0.1565968598336587
fixed::qwen30_fast,conformal,False,0.7639129686835249,0.7336701127819548,0.7251255205355723,0.4532583107292584,0.7263208434681575,0.6814908844709753,0.6978785886300767,0.6658978583196047,0.768927958891644,0.014397489042853201,0.1733175626795572,0.1603434804039844
fixed::qwen30_judge,fixed05,False,0.5,0.7536654135338348,0.7292096880225795,0.4964692334396382,0.733480342967289,0.6602274373995519,0.8058216515122453,0.5596924766611752,0.7638970002040985,0.02029399012305629,0.17309504859604102,0.16414833113550564
fixed::qwen30_judge,mcc,True,0.5233018408151694,0.7514450187969924,0.7189886584418381,0.5052406111358746,0.7212734616870403,0.6296252517890263,0.8690796502526121,0.49401427786930263,0.7638970002040985,0.02029399012305629,0.17309504859604102,0.16432971393215462
fixed::qwen30_judge,youden,False,0.7321960791055845,0.756109022556391,0.7368182858663528,0.4976400270500057,0.7411773204645311,0.6790435143065532,0.7771077105283247,0.6031026908292146,0.7638970002040985,0.02029399012305629,0.17309504859604102,0.1639759015657501
fixed::qwen30_judge,conformal,False,0.7688340975533969,0.6116658834586467,0.6345521561702564,0.27796912500395105,0.60891667581556,0.6362805307302486,0.5323283880434732,0.7931905546403075,0.7638970002040985,0.02029399012305629,0.17309504859604102,0.23879612216335339
