protocol,seed,rotation,beta,val_auroc,val_ms
A,7,3,0.4,0.7469715869715869,76.01756622928993
A,7,3,0.6,0.5844462924462924,67.26273725099783
A,7,3,0.8,0.5154511434511435,60.164676041707615
A,7,3,1.2,0.5329009009009009,59.454607058915684
A,7,3,1.6,0.5354844074844075,59.2233054642824
A,7,3,2.4,0.5354844074844075,59.2233054642824
A,7,3,3.2,0.5354844074844075,59.2233054642824
A,7,4,0.0,0.7590787697785947,138.62942616024975
A,7,4,0.1,0.8054073457197829,72.09334767487226
A,7,4,0.2,0.8111047296327141,64.99671709909774
A,7,4,0.4,0.7320161961921718,55.493158983947104
A,7,4,0.6,0.5977313844298309,44.87377402151069
A,7,4,0.8,0.5384544697470063,38.03120958917789
A,7,4,1.2,0.5482382333515206,37.68211191295471
A,7,4,1.6,0.5464376992217788,37.17058424638092
A,7,4,2.4,0.5427734543261638,37.11378855449167
A,7,4,3.2,0.5427734543261638,37.11378855449167
A,7,5,0.0,0.7404028782233911,165.15535679097164
A,7,5,0.1,0.7966554654588842,91.25115368257264
A,7,5,0.2,0.7940864928044414,84.31009419580242
A,7,5,0.4,0.6952053960600968,74.63637162599075
A,7,5,0.6,0.5855309615993377,66.61449709505762
A,7,5,0.8,0.5216232011103805,57.32057189112739
A,7,5,1.2,0.5260367204811649,56.87747992072976
A,7,5,1.6,0.5268828986777705,56.52664908828692
A,7,5,2.4,0.5256166751893248,56.51309233245108
A,7,5,3.2,0.5256166751893248,56.51309233245108
A,7,6,0.0,0.7654676080609467,183.8328278413327
A,7,6,0.1,0.7847180466275314,104.55228709978667
A,7,6,0.2,0.7666546822794305,88.50404360366807
A,7,6,0.4,0.7429038996782813,83.34527036658758
A,7,6,0.6,0.6241654837249955,72.99726699546474
A,7,6,0.8,0.544944551546296,64.43407871483043
A,7,6,1.2,0.5673873829197686,63.678635829947545
A,7,6,1.6,0.5677810080522685,63.16912323976637
A,7,6,2.4,0.5677810080522685,63.16912323976637
A,7,6,3.2,0.5677810080522685,63.16912323976637
A,7,7,0.0,0.7980789392537775,163.8965306706988
A,7,7,0.1,0.8171014492753623,89.03549990898493
A,7,7,0.2,0.8032562442183164,80.19094102820624
A,7,7,0.4,0.7410299105766267,75.06907719097806
A,7,7,0.6,0.5517792167745914,63.010753821306636
A,7,7,0.8,0.5029756398396547,57.39224590023657
A,7,7,1.2,0.5083626271970398,56.527550714972506
A,7,7,1.6,0.49119333950046257,56.09692879157938
A,7,7,2.4,0.49119333950046257,56.09692879157938
A,7,7,3.2,0.49119333950046257,56.09692879157938
A,7,8,0.0,0.7426507569280288,176.52613382274012
A,7,8,0.1,0.7951956445204446,98.14778317863767
A,7,8,0.2,0.8040379972841121,85.03957457579767
A,7,8,0.4,0.7182517728712972,74.58492833262983
A,7,8,0.6,0.5751207061308656,65.51139011546466
A,7,8,0.8,0.5146984861439421,57.602054208866896
A,7,8,1.2,0.5121837750842428,57.218131759402986
A,7,8,1.6,0.517951893577428,56.86146470482305
A,7,8,2.4,0.5184359754564201,56.84338034264388
A,7,8,3.2,0.5184359754564201,56.84338034264388
A,7,9,0.0,0.7530333670374115,161.57662047170086
A,7,9,0.1,0.787461091615615,93.7566529957868
