system,rule,primary,mean_threshold,acc,bacc,mcc,f1_macro,f1_unsup,prec_unsup,rec_unsup,auroc,ece,brier,aurc
fixed::minicheck_dbta,youden,False,0.6738282312388003,0.6213844252163165,0.6164829041330975,0.24180939097550097,0.6120946652636382,0.6660342419310636,0.6176749184200747,0.7281823564239194,0.677404135585099,0.129627132929825,0.24016522159864545,0.2836348428319041
fixed::minicheck_dbta,conformal,False,0.7604824773037077,0.6000927070457355,0.5874941013432289,0.21613630269737288,0.5533242294000102,0.695247465463007,0.5784151622873855,0.874600355239787,0.677404135585099,0.129627132929825,0.24016522159864545,0.303914243213964
fixed::minicheck_ft5,fixed05,False,0.5,0.6851977750309024,0.6942273534635879,0.42330195340737997,0.6747646178295079,0.6173592468441251,0.8441023701860255,0.48845470692717574,0.7390736018413376,0.12191351183733559,0.21586261527505807,0.2875648127365795
fixed::minicheck_ft5,mcc,True,0.5906252482272802,0.6884734239802226,0.6963245771050598,0.41990011059296395,0.6803945421955558,0.6321887126875706,0.8243514990593017,0.5174067495559503,0.7390736018413376,0.12191351183733559,0.21586261527505807,0.2873121311302522
fixed::minicheck_ft5,youden,False,0.6759050807857508,0.69385043263288,0.697929471009609,0.4050973435708995,0.6913843538122524,0.6724668965386142,0.766187545210878,0.6049733570159859,0.7390736018413376,0.12191351183733559,0.21586261527505807,0.2863859279572868
fixed::minicheck_ft5,conformal,False,0.7771392390296339,0.6080346106304079,0.5981971638224903,0.2198231581115812,0.5742152266781814,0.6870282823371385,0.5951880936734442,0.822380106571936,0.7390736018413376,0.12191351183733559,0.21586261527505807,0.3417227111747299
fixed::alignscore,fixed05,False,0.5,0.7372064276885044,0.7399167126886279,0.48384528849129016,0.7365062387100807,0.72891124737359,0.7917428175045189,0.6781527531083482,0.8116698489752506,0.04345311441247235,0.17279405386826835,0.13647147206334675
fixed::alignscore,mcc,True,0.6163704174803476,0.7295117428924598,0.730578158302534,0.4660826297050324,0.7280317831725818,0.7300779079190122,0.7663658855814217,0.706275902901125,0.8116698489752506,0.04345311441247235,0.17279405386826835,0.13772408657348983
fixed::alignscore,youden,False,0.6766960721436582,0.7274721878862793,0.7266678798859345,0.4546986841596796,0.7263840154383252,0.7404530514679604,0.7375684409981845,0.7449970396684429,0.8116698489752506,0.04345311441247235,0.17279405386826835,0.13824681700192964
fixed::alignscore,conformal,False,0.8308609709491371,0.6127317676143387,0.5975149671837583,0.27480443320596887,0.5462716330875148,0.7182178142013991,0.5804404668666432,0.9442865600947306,0.8116698489752506,0.04345311441247235,0.17279405386826835,0.20969819574288998
fixed::lettuce_v2,fixed05,False,0.5,0.5852904820766378,0.599139379757915,0.25312265138488266,0.5473885389221452,0.41642919264938716,0.7841152842590858,0.2835405565423328,0.5995127986978368,0.15271124060467095,0.2574662647881725,0.582509855301147
fixed::lettuce_v2,mcc,True,0.6735175884751475,0.5861557478368356,0.5999247957141595,0.2541595677035736,0.5488787306695742,0.4192013223505378,0.7835608363600304,0.286145648312611,0.5995127986978368,0.15271124060467095,0.2574662647881725,0.5824685002571488
fixed::lettuce_v2,youden,False,0.6984751525389089,0.5861248454882573,0.5998951923985881,0.2541000558349345,0.5488363457218901,0.4191328471574889,0.7835258075265952,0.28608644168146835,0.5995127986978368,0.15271124060467095,0.2574662647881725,0.5824745655516919
fixed::lettuce_v2,conformal,False,0.7015421420465763,0.5861557478368356,0.5999247957141595,0.2541595677035736,0.5488787306695742,0.4192013223505378,0.7835608363600304,0.286145648312611,0.5995127986978368,0.15271124060467095,0.2574662647881725,0.5824685002571488
fixed::granite_guardian_3_1_2b,fixed05,False,0.5,0.7274412855377009,0.7347874742190906,0.4948876633495938,0.7221600893565047,0.684453629748656,0.8649938766434835,0.5673771462403789,0.7958342949148508,0.05570204038344576,0.18276399562101292,0.17030360546548692
fixed::granite_guardian_3_1_2b,mcc,True,0.5120384217002502,0.7215080346106304,0.7286607169169075,0.4851480483515324,0.7151828242646956,0.6771754313861963,0.8603554223242419,0.565660153937241,0.7958342949148508,0.05570204038344576,0.18276399562101292,0.17089765092762355
fixed::granite_guardian_3_1_2b,youden,False,0.6626329664959015,0.7186650185414092,0.7187118979303703,0.4422880201027338,0.7167918884862137,0.7261724234891583,0.7442342983286652,0.7176435760805211,0.7958342949148508,0.05570204038344576,0.18276399562101292,0.16991597997249439
fixed::granite_guardian_3_1_2b,conformal,False,0.7794471436393967,0.627503090234858,0.6151000255273581,0.28385496052565384,0.5758643615058298,0.7166320365791261,0.6026251725753748,0.8977501480165779,0.7958342949148508,0.05570204038344576,0.18276399562101292,0.22938105753326427
fixed::granite_guardian_3_2_3b_a800m,fixed05,False,0.5,0.6404820766378245,0.6535135710248029,0.37680286687810066,0.6123537003840508,0.5081197317675633,0.887641426849639,0.356542332741267,0.7550137530076931,0.14207380338995135,0.22168620401367445,0.23916574204215854
fixed::granite_guardian_3_2_3b_a800m,mcc,True,0.5056677059085697,0.6327564894932014,0.6463382784456863,0.36789529376605856,0.6005698487131966,0.48765987775668673,0.8943732136779484,0.3368265245707519,0.7550137530076931,0.14207380338995135,0.22168620401367445,0.2397285521899178
fixed::granite_guardian_3_2_3b_a800m,youden,False,0.6525266947211324,0.6748454882571077,0.6843346984920489,0.40769628251268086,0.6620097746738967,0.5982235338527568,0.8425858740895252,0.4680876258140912,0.7550137530076931,0.14207380338995135,0.22168620401367445,0.2353982416146616
fixed::granite_guardian_3_2_3b_a800m,conformal,False,0.7117768838307126,0.671229913473424,0.6696622275088475,0.35829709770558793,0.6611631345391651,0.6854922885132163,0.7001948825447727,0.7053878034339847,0.7550137530076931,0.14207380338995135,0.22168620401367445,0.23163946761474544
fixed::granite_guardian_3_2_8b_factuality,fixed05,False,0.5,0.4941285537700866,0.485334896357778,-0.04609640321457678,0.4528521846093761,0.5882264643540134,0.5297011605590374,0.6857312018946122,0.6338600312375258,0.2810752764038606,0.2655293685903578,0.28914703253996066
fixed::granite_guardian_3_2_8b_factuality,mcc,True,0.48583478818709,0.5399258343634117,0.5351062791560126,0.06291834090405019,0.5083599413120812,0.598228878986362,0.5937298343439228,0.6449378330373002,0.6338600312375258,0.2810752764038606,0.2655293685903578,0.27946618190281675
